"","MCL1-DG_BC2CTUACXX_ACTTGA_L002_R1","MCL1-DH_BC2CTUACXX_CAGATC_L002_R1","MCL1-DI_BC2CTUACXX_ACAGTG_L002_R1","MCL1-DJ_BC2CTUACXX_CGATGT_L002_R1","MCL1-DK_BC2CTUACXX_TTAGGC_L002_R1","MCL1-DL_BC2CTUACXX_ATCACG_L002_R1","MCL1-LA_BC2CTUACXX_GATCAG_L001_R1","MCL1-LB_BC2CTUACXX_TGACCA_L001_R1","MCL1-LC_BC2CTUACXX_GCCAAT_L001_R1","MCL1-LD_BC2CTUACXX_GGCTAC_L001_R1","MCL1-LE_BC2CTUACXX_TAGCTT_L001_R1","MCL1-LF_BC2CTUACXX_CTTGTA_L001_R1"
"29819",8.30708259107785,8.50171006390411,8.81825491859813,8.78874965247845,8.83496121042777,8.58276701188913,8.4114001258779,8.53339130263551,8.86428587824006,8.64323701319866,8.43713411458164,8.63258216817305
"66799",9.2075593951039,9.26184536714188,9.22686708290882,9.26445307161537,9.75730523945814,9.54749759358218,8.37457197392519,8.26710775236858,8.43380116283214,8.55414579259025,8.55630472816272,8.65761866853786
"67923",11.2424262363155,11.2634389220697,11.1380353248287,11.0181376115263,11.0745876572274,10.9988739765386,10.0524959387208,9.84885747357622,9.82364689773682,9.7933598693701,9.92929580875049,9.84492290308255
"329101",3.04472903399899,3.06614493427131,3.28323786021161,3.65021413027569,2.51756139244616,3.12428935733666,2.51756139244616,2.51756139244616,3.10705498254269,2.51756139244616,2.51756139244616,2.51756139244616
"70397",8.59365957536132,8.53142655841569,8.99674356287365,8.95456809043186,9.02674147014914,8.94060642012074,8.46334308095805,8.20020588814295,8.69910284354548,8.71224606138363,9.6397789044715,9.79784901764239
"17087",5.17213685329925,4.80080292530907,5.79286912859971,5.52442750564396,5.99278238218252,5.41081975782865,6.11837669518961,6.25531532916144,7.43590618177188,7.39185377645941,7.62452255139535,7.35816638551202
"57339",7.36720482616449,7.19946716745088,7.55417006398571,7.50151471265414,7.22087480550483,6.94499959085036,6.24319560362626,5.54656725085188,6.00583138992636,5.90375921170281,6.40572144561156,6.42193037316649
"14545",3.2590552399614,3.28884030886342,4.83098344164644,4.75226109045683,4.60307581802892,4.32901417074052,3.26223799434538,3.24067564193574,3.10705498254269,3.14158569901462,2.51756139244616,3.30234070334364
"94227",6.7205494175499,7.69611460275242,7.24392984672622,8.04899235845739,6.96336247216822,6.47888223781964,4.18846761300276,4.07477141546921,3.67359069016292,3.14158569901462,3.62012714857171,3.61452447214535
"83691",8.38924079735937,9.35525713130771,8.08416839064784,8.17026738227091,8.08748958689967,8.12711991291193,4.04282046407875,4.07477141546921,3.80204992167466,3.58250540796312,3.30644028790486,4.46769142819565
